fecha;empresa;vendedor;producto;cantidad;precio;evento_especial
06/01/2022;55156;64;1067;1.0;1.79;0
06/01/2022;21611;105;1069;1.0;3.94;0
06/01/2022;56657;72;3801;1.0;22.03;0
06/01/2022;31515;72;3802;1.0;29.55;0
06/01/2022;31704;71;3802;2.0;21.3;0
06/01/2022;58933;59;4537;1.0;184.05;0
06/01/2022;22536;105;4703;1.0;91.6;0
06/01/2022;23925;76;4703;1.0;80.86;0
06/01/2022;20962;105;5227;2.0;55.88;0
06/01/2022;30753;62;5250;1.0;114.2;0
06/01/2022;30753;62;5251;3.0;39.43;0
06/01/2022;30894;62;5287;1.0;57.33;0
06/01/2022;34032;60;5600;1.0;17.33;0
06/01/2022;28098;70;5600;2.0;14.2;0
06/01/2022;58223;59;5600;1.0;13.73;0
06/01/2022;28212;70;5604;2.0;18.15;0
06/01/2022;28476;70;5604;2.0;18.25;0
06/01/2022;28212;70;5604;2.0;17.82;0
06/01/2022;23859;76;5607;2.0;21.89;0
06/01/2022;23641;76;5608;1.0;19.82;0
06/01/2022;23340;76;5608;1.0;20.19;0
06/01/2022;21077;105;5608;2.0;13.18;0
06/01/2022;31883;71;5610;1.0;21.27;0
06/01/2022;18583;105;5610;1.0;21.11;0
06/01/2022;23764;76;5623;1.0;19.76;0
06/01/2022;58936;72;5633;1.0;31.84;0
06/01/2022;27876;70;5637;2.0;16.88;0
06/01/2022;51433;105;5653;1.0;19.16;0
06/01/2022;32350;71;5656;4.0;16.27;0
06/01/2022;54904;70;5660;2.0;14.22;0
06/01/2022;32284;71;5660;1.0;19.76;0
06/01/2022;52915;70;5665;1.0;13.77;0
06/01/2022;52250;105;5676;1.0;39.76;0
06/01/2022;26668;72;5676;1.0;32.97;0
06/01/2022;29551;64;5699;1.0;25.09;0
06/01/2022;31404;62;5707;3.0;30.21;0
06/01/2022;52840;76;5728;1.0;24.81;0
06/01/2022;27901;70;5749;1.0;49.8;0
06/01/2022;27571;70;6001;1.0;67.49;0
06/01/2022;52840;76;6001;1.0;55.3;0
06/01/2022;31131;62;6001;2.0;73.94;0
06/01/2022;23925;76;6003;1.0;45.17;0
06/01/2022;31131;62;6003;3.0;52.36;0
06/01/2022;56077;75;8904;2.0;2.0;0
06/01/2022;55384;64;8908;6.0;2.51;0
06/01/2022;23859;76;9001;1.0;4.34;0
06/01/2022;20962;105;9001;1.0;4.55;0
06/01/2022;55155;64;9001;1.0;3.55;0
06/01/2022;58936;72;9001;1.0;3.41;0
06/01/2022;58934;105;9001;1.0;3.42;0
06/01/2022;52915;70;9001;1.0;2.94;0
06/01/2022;27571;70;9001;1.0;3.01;0
06/01/2022;22116;105;9001;1.0;3.54;0
06/01/2022;56771;105;9001;1.0;2.52;0
06/01/2022;22808;76;9001;1.0;5.02;0
06/01/2022;29824;75;9001;1.0;4.3;0
06/01/2022;30753;62;9001;1.0;6.11;0
