fecha,empresa,vendedor,producto,cantidad,precio,evento_especial
2022-01-06,56655,75,8003K,1.0,5.21,0
2022-01-06,31883,71,5610,1.0,21.27,0
2022-01-06,25885,59,8001Y,2.0,2.51,0
2022-01-06,25885,59,8007K,3.0,2.48,0
2022-01-06,25885,59,8007C,2.0,2.46,0
2022-01-06,25885,59,8007M,2.0,2.53,0
2022-01-06,25885,59,8007Y,1.0,2.46,0
2022-01-06,25885,59,8003M,1.0,2.45,0
2022-01-06,25885,59,8003Y,1.0,2.47,0
2022-01-06,25885,59,8003K,1.0,2.54,0
2022-01-06,25885,59,8003C,1.0,2.49,0
2022-01-06,23925,76,6003,1.0,45.17,0
2022-01-06,56293,71,R10749,1.0,16.23,1
2022-01-06,28528,70,R10104,1.0,127.35,0
2022-01-06,28528,70,9002,1.0,40.19,0
2022-01-06,23764,76,5623,1.0,19.76,0
2022-01-06,23859,76,5607,2.0,21.89,0
2022-01-06,23859,76,9001,1.0,4.34,0
2022-01-06,25858,59,R10756,4.0,9.33,0
2022-01-06,31417,62,5681M,1.0,25.08,0
2022-01-06,31417,62,5681Y,1.0,25.0,0
2022-01-06,31417,62,5681XM,1.0,24.99,0
2022-01-06,31417,62,5681XY,1.0,24.96,0
2022-01-06,22698,70,5653X,1.0,32.57,0
2022-01-06,30309,75,8007K,1.0,4.35,1
2022-01-06,23882,76,7102K,1.0,34.64,1
2022-01-06,21772,105,9002,1.0,40.1,1
2022-01-06,31396,62,8703K,1.0,37.72,0
2022-01-06,20962,105,5227,2.0,55.88,0
2022-01-06,20962,105,9001,1.0,4.55,1
2022-01-06,55155,64,R10488,1.0,44.95,0
2022-01-06,55155,64,9001,1.0,3.55,0
2022-01-06,23351,76,5680M,1.0,25.44,0
2022-01-06,23351,76,5680Y,1.0,24.74,0
2022-01-06,51433,105,5653,1.0,19.16,0
2022-01-06,23666,76,8007C,1.0,2.41,1
2022-01-06,23666,76,8007K,1.0,2.37,0
2022-01-06,23666,76,8007M,1.0,2.38,0
2022-01-06,23666,76,8007Y,1.0,2.41,1
2022-01-06,56927,72,8001C,1.0,3.28,0
2022-01-06,56927,72,8001K,1.0,3.21,0
2022-01-06,56927,72,8001M,1.0,3.23,1
